ticker,year,name,shares,ffo,dividend,revenue,interest,ebitda,ebit,asset,equity,casti,debt
4344,2018-06-30,SEDCO Capital REIT,60000000,7310000,0,11357525,0,-15203274,-17290127,588722933,582709873,36295884,0
4345,2022-06-30,Alinma Retail REIT,118000000,7040000,-13954093,23180821,-158924,7074462,-8206696,941981907,928954113,27600265,7173835
4345,2021-12-31,Alinma Retail REIT,118000000,-9690000,-402270,30824575,-159971,-9654391,-24943189,946676062,932864494,29348717,7664911
4345,2021-06-30,Alinma Retail REIT,118000000,15870000,-1920,28220710,-166402,16149171,553556,969876394,939611288,36681226,7504940
4345,2020-12-31,Alinma Retail REIT,118000000,-100000,0,27068259,-166726,5972425,-8473064,982362597,947722311,21333060,7988538
4345,2020-06-30,Alinma Retail REIT,118000000,21660000,-49136189,27098243,-174491,15899102,-1727076,1010999849,957759818,41327871,8471812
4345,2019-12-31,Alinma Retail REIT,118000000,15370000,0,42369751,-173547,9735894,-8969559,1186668145,1149508173,333756,8297321
4345,2019-06-30,Alinma Retail REIT,118000000,36210000,-31860000,49315200,-179214,30261835,12061936,1157456950,1116563207,10813429,8773774
4345,2018-12-31,Alinma Retail REIT,118000000,0,,,,,,,,,
4345,2018-06-30,Alinma Retail REIT,118000000,0,,,,,,,,,
4346,2022-06-30,MEFIC REIT,73276800,4750000,-7327429,31790008,-9574568,15587630,7757049,1042327742,529679567,4518361,455860640
4346,2021-12-31,MEFIC REIT,73276800,5220000,0,27382935,-8418897,11836460,3193338,1040944050,521932190,1229649,460297809
4346,2021-06-30,MEFIC REIT,73276800,6540000,-10972673,27382935,-8423583,10298438,2581918,1060503281,558156820,2293777,434001469
4346,2020-12-31,MEFIC REIT,73276800,-10550000,-100000,25584452,-8324873,8684136,956062,1171098844,669689865,5305593,439637742
4346,2020-06-30,MEFIC REIT,73276800,12560000,-18219200,40290047,-8101291,22442620,14407312,1241125469,709381635,8311032,445294489
4346,2019-12-31,MEFIC REIT,73276800,40560000,-27567599,52086570,-8382760,64796653,49208406,1352033171,754253329,2288484,423576181
4346,2019-06-30,MEFIC REIT,73276800,22950000,0,43667295,-8713214,29596686,27193492,1245864813,762458964,6084088,302322486
4346,2018-12-31,MEFIC REIT,73276800,0,,,,,,,,,
4346,2018-06-30,MEFIC REIT,73276800,0,,,,,,,,,
4347,2022-06-30,Bonyan REIT,162881100,4750000,-53750763,78149618,-5941421,73468742,51072819,1923445779,1407690251,36974001,389414424
4347,2021-12-31,Bonyan REIT,162881100,5220000,-52121952,66431727,-4822751,58511325,35738791,1890778704,1390852977,106975449,381872420
4347,2021-06-30,Bonyan REIT,162881100,6540000,-52121952,67257770,-3637044,62462017,40585043,1916427169,1403797853,116041683,385080966
4347,2020-12-31,Bonyan REIT,162881100,-10550000,-44994182,62450526,-2441304,56634925,34738552,1741813067,1429694959,36095533,190426655
4347,2020-06-30,Bonyan REIT,162881100,12560000,-20001799,36568165,-1047610,31391386,8268271,1749567087,1436669582,47813799,149847610
4347,2019-12-31,Bonyan REIT,162881100,40460000,-59829326,63038909,0,55162312,32118669,1752486997,1449286930,33555916,0
4347,2019-06-30,Bonyan REIT,162881100,22950000,-59858804,60038735,0,55738391,32327599,1753298727,1453009026,54909565,0
4347,2018-12-31,Bonyan REIT,162881100,0,,,,,,,,,
4347,2018-06-30,Bonyan REIT,162881100,0,,,,,,,,,
4348,2022-06-30,Alkhabeer REIT,141008848,26700000,-31764712,59591073,-18160511,59121418,37427631,1906687293,1099001175,19871566,746975058
4348,2021-12-31,Alkhabeer REIT,141008848,16200000,-41148588,63127231,-15096677,26520489,9749460,1933638889,1096825756,50968681,762301499
4348,2021-06-30,Alkhabeer REIT,102971013,31050000,-12871377,54651340,-14934566,41101571,27705073,1992635228,812954882,67017104,762369950
4348,2020-12-31,Alkhabeer REIT,102971013,630000,-28734128,51314534,-11753296,23143746,12055922,1678198417,856154223,44108858,763154747
4348,2020-06-30,Alkhabeer REIT,66442386,25860000,-13288478,36916025,-8003143,28988685,22531301,986965800,587994532,20399632,364313562
4348,2019-12-31,Alkhabeer REIT,66442386,29740000,-26127192,37594854,-7595142,27245014,25336976,956103899,571745229,19268556,364824766
4348,2019-06-30,Alkhabeer REIT,66442386,-5920000,0,29033793,-6915529,999871,-8156863,995986046,642953387,13061501,346915413
4348,2018-12-31,Alkhabeer REIT,,0,,,,,,,,,
4348,2018-06-30,Alkhabeer REIT,,0,,,,,,,,,
